period,org_code,org_name,region,attendances_type1,attendances_type2,attendances_type3,attendances_type1_booked,attendances_type2_booked,attendances_type3_booked,over_4hrs_type1,over_4hrs_type2,over_4hrs_type3,over_4hrs_type1_booked,over_4hrs_type2_booked,over_4hrs_type3_booked,wait_4_12h_dta,wait_12h_plus_dta,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_type3,emergency_admissions_other,total_attendances,total_over_4_hours,in_4_hours,pct_in_4_hours,total_emergency_admissions,source_file
2024-04-01,8J094,BADGER LTD,NHS ENGLAND MIDLANDS,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,2078,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,AAH,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,546,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,ACH01,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST,0,0,4419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4419,0,4419,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,AD913,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,0,0,3694,0,0,104,0,0,17,0,0,0,0,0,0,0,0,0,3798,17,3781,99.55239599789363,0,Monthly-AE-April-2024-revised.csv
2024-04-01,AJN,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,344,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,AQN04,PHL LYMINGTON UTC,NHS ENGLAND SOUTH EAST,0,0,2897,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,2904,8,2896,99.72451790633609,0,Monthly-AE-April-2024-revised.csv
2024-04-01,ARN03,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,2189,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,2494,0,2494,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,AXG,WILTSHIRE HEALTH & CARE,NHS ENGLAND SOUTH WEST,0,0,2355,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2355,24,2331,98.98089171974522,0,Monthly-AE-April-2024-revised.csv
2024-04-01,C82009,MARKET HARBOROUGH MED.CTR,NHS ENGLAND MIDLANDS,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,296,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,C82038,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,274,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,C83023,SLEAFORD MEDICAL GROUP,NHS ENGLAND MIDLANDS,0,0,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,773,0,773,100.0,3,Monthly-AE-April-2024-revised.csv
2024-04-01,DT301,HERTS URGENT CARE (ASCOTS LANE),NHS ENGLAND EAST OF ENGLAND,0,0,2273,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2273,17,2256,99.2520897492301,0,Monthly-AE-April-2024-revised.csv
2024-04-01,G0Q0L,BARKING HOSPITAL UTC,NHS ENGLAND LONDON,0,0,2758,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2758,34,2724,98.76722262509064,0,Monthly-AE-April-2024-revised.csv
2024-04-01,K6K0R,HAROLD WOOD POLYCLINIC UTC,NHS ENGLAND LONDON,0,0,2858,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2858,37,2821,98.70538838348496,0,Monthly-AE-April-2024-revised.csv
2024-04-01,L83087,OKEHAMPTON MEDICAL CENTRE,NHS ENGLAND SOUTH WEST,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,NHS ENGLAND SOUTH EAST,0,0,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183,0,2183,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS,0,0,4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4045,0,4045,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NLX,SIRONA CARE & HEALTH,NHS ENGLAND SOUTH WEST,0,0,8116,0,0,242,0,0,498,0,0,40,0,0,0,0,0,0,8358,538,7820,93.56305336204834,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNF09,BRANSHOLME HEALTH CENTRE,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,3849,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,3849,908,2941,76.40945700181865,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNF94,EAST RIDING COMMUNITY HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,2787,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,2787,315,2472,88.69752421959096,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNFA7,GOOLE & DISTRICT HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,0,0,1577,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1577,13,1564,99.17564996829422,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS,0,0,2054,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2054,2,2052,99.90262901655306,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,6079,0,0,211,0,0,19,0,0,0,0,0,0,0,0,0,6290,19,6271,99.69793322734499,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,208,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,2219,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ12,MARKET HARBOROUGH,NHS ENGLAND MIDLANDS,0,0,101,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,427,0,427,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ13,MELTON MOWBRAY,NHS ENGLAND MIDLANDS,0,0,71,0,0,348,0,0,1,0,0,0,0,0,0,0,0,0,419,1,418,99.76133651551312,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ14,OADBY,NHS ENGLAND MIDLANDS,0,0,353,0,0,2256,0,0,0,0,0,0,0,0,0,0,0,0,2609,0,2609,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NNJ15,OAKHAM,NHS ENGLAND MIDLANDS,0,0,75,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,434,0,434,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NQT51,STATION PLAZA HEALTH CENTRE,NHS ENGLAND SOUTH EAST,0,0,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,0,1625,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NQT5F,SKELMERSDALE WALK IN CENTRE,NHS ENGLAND NORTH WEST,0,0,1871,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1871,5,1866,99.73276322822021,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NQT5H,PAULTON MEMORIAL HOSPITAL,NHS ENGLAND SOUTH WEST,0,0,925,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,925,8,917,99.13513513513513,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NQTE4,SUMMERFIELD URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,0,0,3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251,0,3251,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,NHS ENGLAND MIDLANDS,0,0,5160,0,0,262,0,0,124,0,0,0,0,0,0,0,0,0,5422,124,5298,97.71302102545187,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,NHS ENGLAND SOUTH EAST,0,0,5442,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,5442,353,5089,93.51341418596104,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,NHS ENGLAND SOUTH EAST,0,0,5566,0,0,327,0,0,238,0,0,2,0,0,0,0,0,0,5893,240,5653,95.92737145766164,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NTV0B,ASHFORD WALK-IN-CENTRE,NHS ENGLAND SOUTH EAST,0,0,2476,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,2476,51,2425,97.94022617124394,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NTV0W,WOKING WALK IN CENTRE,NHS ENGLAND SOUTH EAST,0,0,2482,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,2482,89,2393,96.41418211120065,0,Monthly-AE-April-2024-revised.csv
2024-04-01,NV693,ROSSENDALE MIU & OOH,NHS ENGLAND NORTH WEST,0,0,1019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1019,1,1018,99.9018645731109,0,Monthly-AE-April-2024-revised.csv
2024-04-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,23565,3203,11520,3030,522,968,11068,93,737,1294,12,93,3573,623,5256,170,148,503,42808,13297,29511,68.93804896281068,6077,Monthly-AE-April-2024-revised.csv
2024-04-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,11076,1348,5875,463,0,1423,5043,36,110,227,0,26,695,3,4348,17,0,1119,20185,5442,14743,73.03938568243746,5484,Monthly-AE-April-2024-revised.csv
2024-04-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,12739,0,4818,0,0,0,5255,0,0,0,0,0,863,131,3992,4,0,2340,17557,5255,12302,70.06891838013328,6336,Monthly-AE-April-2024-revised.csv
2024-04-01,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,NHS ENGLAND MIDLANDS,0,0,3359,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3359,4,3355,99.88091693956535,1,Monthly-AE-April-2024-revised.csv
2024-04-01,R1F,ISLE OF WIGHT NHS TRUST,NHS ENGLAND SOUTH EAST,4088,0,2006,22,0,26,1779,0,1,10,0,0,185,50,1089,0,0,249,6142,1790,4352,70.85639856724194,1338,Monthly-AE-April-2024-revised.csv
2024-04-01,R1H,BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,23379,915,16891,0,0,0,11368,30,2835,0,0,0,880,1225,4700,0,0,1326,41185,14233,26952,65.44130144470074,6026,Monthly-AE-April-2024-revised.csv
2024-04-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,12755,0,14697,0,0,0,6154,0,181,0,0,0,673,686,6513,0,0,435,27452,6335,21117,76.92335713244937,6948,Monthly-AE-April-2024-revised.csv
2024-04-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,6572,0,1327,725,0,10,2006,0,0,192,0,0,333,1,2491,0,0,1025,8634,2198,6436,74.54250637016446,3516,Monthly-AE-April-2024-revised.csv
2024-04-01,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,15115,2307,0,0,0,0,5366,115,0,0,0,0,1201,350,5118,12,0,1458,17422,5481,11941,68.53977729307772,6588,Monthly-AE-April-2024-revised.csv
